Question Number,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution
94,"6 × 66 × 666 =? (Bank Recruitment, 2007)
(e) None of these",263376,263763,263736,267336,c,"6 × 66 × 666 = 6 × (6 × 11) × (6 × 111)
= (6 × 6 × 6) × (11 × 111) = (216 × 1221)
= (1221 × 216) = 1221 × (200 + 10 + 6)
= (1221 × 200) + (1221 × 10) + (1221 × 6)
= 244200 + 12210 + 7326 = 263736.
2 4 4 2 0 0
1 2 2 1 0
+ 7 3 2 6
2 6 3 7 3 6"
95,"If you subtract – 1 from + 1, what will be the
result? (R.R.B., 2006)",– 2,0,1,2,d,(+ 1) – (– 1) = (+ 1 + 1) = 2.
96,"8 + 88 + 888 + 8888 + 88888 + 888888 =?
(e) None of these
(Bank P.O., 2009)",897648,896748,986748,987648,d,"888888
+
88888
8888
888
88
8
987648"
97,"From the sum of 17 and – 12, subtract",,,,,a,Given Expression = 17 + (– 12) – 48 = 17 – 60 = – 43.
48,"(E.S.I.C., 2006)",– 43,– 48,– 17,,c,"(16 7 6)nn nn167 6
2
++  
n nn n
2
n


n
6 
=++ = ++16 7 .


For



16 7n++
n
or n = 2 or n = 3 or n = 6.
Hence, 4 values of n will give the desired result."
98,"60840 ÷ 234 =?
(e) None of these",225,255,260,310,c,"60840 30420 3380
= ==260.
234 117 13
= 44."
99,3578 + 5729 –? × 581 = 5821,3,4,6,,c,"Let 3578 + 5729 – x × 581 = 5821. Then
x × 581 = (3578 + 5729) – 5821 ⇒ x × 581 = (9307 – 5821)
= 3486 ⇒ x =
3486
581"
100,– 95 ÷ 19 =?,– 5,,0,,a,"– 95 ÷ 19 =
– 95
19
= – 5.
127512 18216 2024 1012
=
=
=
414 7 414 46 23
×
44
23 1012
92
92
92
×"
101,12345679 × 72 is equal to,88888888,888888888,898989898,999999998,b,"12345679 × 72 = 12345679 × (70 + 2)
= (12345679 × 70) + (12345679 × 2)
= (864197530 + 24691358)
= 888888888.
8 6 4 1 9 7 5 3 0
+ 2 4 6 9 1 3 5 8
8 8 8 8 8 8 8 8 8"
102,"8899 – 6644 – 3322 =? – 1122
(e) None of these",55,65,75,85,a,"8899 – 6644 – 3322 = x – 1122 ⇒ 2255 – 3322 + 1122 = x
⇒ x = 3377 – 3322 = 55."
103,"74844 ÷? = 54 × 63 (Bank P.O., 2009)
(e) None of these",22,34,42,,a,"Let 74844 ÷ x = 54 × 63. Then, =×
74844
54 63
x
⇒ x = 74844 8316 1386 198
=
= ==22 .
54 63 6 63 63 9
××"
104,"1256 × 3892 =?
(e) None of these",4883852,,4888352,,c,"1256 × 3892 = (1000 + 200 + 50 + 6) × 3892
= (1000 × 3892) + (200 × 3892) +
(50 × 3892) + (6 × 3892)
= 3892000 + 778400 + 194600 + 23352
= 4888352.
3 8 9 2 0 0 0
7 7 8 4 0 0
1 9 4 6 0 0
+ 2 3 3 5 2
4 8 8 8 3 5 2"
105,"What is 786 times 964?
(e) None of these",757704,,759276,,a,"786 × 964 = (800 – 14) × 964
= (800 × 964) – (14 × 964)
= (771200 – 13496) = 757704.
7 7 1 2 0 0
– 1 3 4 9 6
7 5 7 7 0 4"
106,"What is 348 times 265?
(e) None of these",88740,89750,92220,95700,c,"348 × 265 = (350 – 2) × 265 = (350 × 265) – (2 × 265)
= {(300 + 50) × 265} – 530 = (300 × 265)
+ (50 × 265) – 530
= 79500 + 13250 – 530 = 92750 – 530
= 92220."
107,(71 × 29 + 27 × 15 + 8 × 4) equals,2496,3450,3458,,a,"(71 × 29 + 27 × 15 + 8 × 4) = (80 – 9) × 29 + 405 + 32 =
(80 × 29) – (9 × 29) + 437 = 2320 – 261 + 437 = 2757 – 261
= 2496."
108,? × (|a| × |b|) = – ab,0,,1,,b,"Let x × (|a| × |b|) = – ab. Then, x =
ab
||
–( )
ab"
109,"(46)2 – (?)2 = 4398 – 3066
(e) None of these",16,28,36,42,b,"Let (46)2 – x2 = 4398 – 3066
Then, (46)2 – x2 = 1332 ⇒ x2 = (46)2 – 1332
\ x2 = (50 – 4)2 – 1332 = (50)2 + 42 – 2 × 50 × 4 – 1332
⇒ x2 = 2500 + 16 – 400 – 1332 = 2516 – 1732 = 784
⇒ x =
2 784 28
4
48 384
384
×"
110,"(800 ÷ 64) × (1296 ÷ 36) =?
(e) None of these
(S.S.C., 2007)
(Bank P.O., 2008)
(S.B.I.P.O., 2008)NUMBER SYSTEM
19",420,754164,500,749844,,"(800 ÷ 64) × (1296 ÷ 36) =
784 = 28.
2 5 1 6
– 1 7 3 2
7 8 4
50
800
×
64
4
27 9
108
1296
36
3
= 450.
= – 1.
= 6.NUMBER SYSTEM
37"
111,5358 × 51 =?,273258,,273348,,a,"5358 × 51 = 5358 × (50 + 1) = 5358 × 50 + 5358 × 1
=
5358 100
×
2
=
535800
2
+= +=
5358 267900 5358 273258."
112,587 × 999 =?,586413,,614823,,a,"587 × 999 = 587 × (1000 – 1) = (587 × 1000) – (587 × 1)
= 587000 – 587 = 586413."
113,"3897 × 999 =?
(e) None of these",3883203,,3639403,,b,"3897 × 999 = 3897 × (1000 – 1) = (3897 × 1000) – (3897 × 1)
= 3897000 – 3897 = 3893103."
114,"72519 × 9999 =?
(e) None of these",725117481,,685126481,,a,"72519 × 9999 = 72519 × (10000 – 1)
= (72519 × 10000) – (72519 × 1)
= 725190000 – 72519 = 725117481.
7 2 5 1 9 0 0 0 0
– 7 2 5 1 9
7 2 5 1 1 7 4 8 1"
115,"2056 × 987 =?
(e) None of these",1936372,,1896172,,b,"2056 × 987 = 2056 × (1000 – 13)
= (2056 × 1000) – (2056 × 13)
= 2056000 – 26728 = 2029272."
116,"1904 × 1904 =?
(e) None of these",3654316,,3625216,,c,"1904 × 1904 = (1904)2 = (1900 + 4)2
= (1900)2 + 42 + 2 × 1900 × 4
= 3610000 + 16 + 15200 = 3625216."
117,"1397 × 1397 =?
(e) None of these",1951609,,18362619,,a,"1397 × 1397 = (1397)2 = (1400 – 3)2
= (1400)2 + 32 – 2 × 1400 × 3 = 1960000 + 9 – 8400
= 1951609."
118,"107 × 107 + 93 × 93 =?
(e) None of these",19578,,20098,,c,"(107 × 107) + (93 × 93) = (107)2 + (93)2
= (100 + 7)2 + (100 – 7)2
= (a + b)2 + (a – b)2 = 2(a2 + b2)
= 2[(100)2 + 72] = 2[10000 + 49]
= 2 × 10049 = 20098."
119,"217 × 217 + 183 × 183 =?
(e) None of these",79698,,80698,,b,"(217 × 217) + (183 × 183) = (217)2 + (183)2
= (200 + 17)2 + (200 – 17)2 = (a + b)2 + (a – b)2
= 2(a2 + b2), where a = 200, b = 17
= 2 [(200)2 + (17)2] = 2 [40000 + 289]
= (2 × 40289) = 80578."
120,"106 × 106 – 94 × 94 =?
(e) None of these",2400,,1904,,a,"(106 × 106 – 94 × 94) = (106)2 – (94)2
= (106 + 94) (106 – 94) = (200 × 12) = 2400."
121,"8796 × 223 + 8796 × 77 =?
(e) None of these",2736900,2738800,2658560,2716740,,"(8796 × 223 + 8796 × 77) = 8796 × (223 + 77)
[by distributive law]
= (8796 × 300) = 2638800."
122,"287 × 287 + 269 × 269 – 2 × 287 × 269 =?
(e) None of these",534,446,354,324,d,"(287 × 287 + 269 × 269 – 2 × 287 × 269)
=
⇒ x =
+
+ 5358"
123,"{(476 + 424)2 – 4 × 476 × 424} =?
(R.R.B., 2007)
(e) None of these",2906,19418,2704,21908,c,"(476 + 424)2 – 4 × 476 × 424 = (a + b)2 – 4ab = (a – b)2,
where a = 476 & b = 424 = (476 – 424)2 = (52)2 = (50 + 2)2
= (50)2 + 22 + 2 × 50 × 2"
124,The value of 112 × 54 is,6700,70000,76500,77200,b,"(112 × 54) = 112 ×
 ==

 ×112 10000
10
2
4"
125,Multiply 5746320819 by,,,,,a,"(5746320819 × 125) =
5746320819 ××(125 8)
8
5746320819 1000 5746320819000
=
×
88
==718290102375."
125,,"718,290,102,375","728,490,301,375","748,290,103,375",,a,"(5746320819 × 125) =
5746320819 ××(125 8)
8
5746320819 1000 5746320819000
=
×
88
==718290102375."
126,935421 × 625 =?,575648125,584638125,584649125,585628125,b,"935421 × 625 =
=
935421 625 16 935421 10000
16
×× ×
=
16
9354210000
16
= 584638125."
127,"(999)2 – (998)2 =? (R.R.B., 2008)",1992,1995,1997,,c,(999)2 – (998)2 = (999 + 998) (999 – 998) = (1997 × 1) = 1997.
128,"(80)2 – (65)2 + 81 =?
(e) None of these",306,2094,2175,2256,d,"(80)2 – (65)2 + 81 = (80 + 65) (80 – 65) + 81 = (145 × 15)
+ 81 = (2175 + 81) = 2256."
129,"(24 + 25 + 26)2 – (10 + 20 + 25)2 =?
(e) None of these",352,400,752,,d,"(24 + 25 + 26)2 – (10 + 20 + 25)2 = (75)2 – (55)2
= (75 + 55) (75 – 55) = (130 × 20) = 2600."
130,(65)2 – (55)2 =?,10,100,120,1200,d,(65)2 – (55)2 = (65 + 55) (65 – 55) = (120 × 10) = 1200.
131,"If a and b be positive integers such that a2 – b2 = 19,
then the value of a is
(S.S.C., 2010)",9,10,19,20,b,"(a2 – b2) = 19 ⇒ (a + b) (a – b) = 19.
Clearly, a = 10 and b = 9."
132,"If a and b are positive integers, a > b and (a + b)2 –
(a – b)2 > 29, then the smallest value of a is",3,4,6,7,b,"Since (a + b)2 – (a – b)2 = 4ab, so the given expression
should be a multiple of 4.
So, the least value of 4ab is 32 and so the least value of
ab is 8.
Hence, the smallest value of a is 4 and that of b is 2.
Hence, a = 4."
133,397 × 397 + 104 × 104 + 2 × 397 × 104 =?,250001,251001,260101,261001,b,"Given Expression = (397)2 + (104)2 + 2 × 397 × 104
= (397 + 104)2 = (501)2 = (500 + 1)­2
= (500)2 + 12 + 2 × 500 × 1 = 250000 + 1 + 1000 = 251001."
134,"If (64)2 – (36)2 = 20 × x, then x =?
(e) None of these",70,120,180,,d,"(64)2 – (36)2 = 20 × x ⇒ (64 + 36) (64 – 36) = 20 × x
100 28
×
20
= 140."
135,"( 22489375) – (489 – 375)
+
(489 375)
×
(e) None of these",144,,2,,d,"Given Expression
=
( 22
a b a)–(– )
b
ab
(where = 489, = 375) =
ab"
136,"( 22963476) (963 – 476)
++
(963 963 476 476)
×+×
(e) None of these",2,864,497,"140
= ?20
QUANTITATIVE APTITUDE",a,"Given Expression =
(a b a
++
+
) (– )
(ab )
22
22
b
,
(where a = 963 and b = 476) ="
137,(e) None of these,1000,,500,"1449
768 768 768 232 232 232
×× + × ×
786 768 – 768 232 232 232
×",a,"Given Expression
=
ab
(– )
(
33
+
)
a ab b2
2
+
= (768 + 232) = 1000."
138,"× +×
(e) None of these",1130,536,565,"268
854 854 854 – 276 276 276
×× × ×
854 854 854 276 276 276
×+ × +×",b,"Given Expression =
(854) (854 276) (276)2
2
ab
()
a ab b
(– )
22
33
++
33
+× +
, where 854 and 276
ab
==
= (a – b) = (854 – 276) = 578."
139,,,578,"1
1000
253
500
256××
256 – 144 144","1156
753 753 247 247 – 753 247
×+ ×
×
753 753 753 247 247 247
× ×+ ××",a,"Given Expression =
(753) (247) – (753 247)
(753) (247)
22
+×
+
33
= (287)2 + (269)2 – (2 × 287 × 269) =
= (287 – 269)2 = (18)2 = 324.
[ a2 + b2 – 2ab = (a – b)2]"
140,112,420,400,360,320,b,"Given Expression =
( 22256) – (144) (256 144) (256 – 144)
112
+
=
112
(400 112)
×
112
= 400.
1
1
( – )( ++
a b a b ab)
22 == =
( – ) (11 – 9) 2
a
b"
141,"If a = 11 and b = 9, then the value of

is (S.S.C., 2010)


a b ab
ab
22
3
++
3
–","1
2","1
20",2,20,a,"() a b ab
a b ab
2
++ ++
=
2
( – )
a b
3 3
2
2
=
= (2500 + 4 + 200) = 2704.
=
( –)
a b ab
22
+
(ab )
33 , where 753 and 247
ab
==
+
1 11
( ++
=
ab) (753 247) 1000
=
."
142,"If a + b + c = 0, (a + b) (b + c) (c + a) equals
(M.C.A., 2005)
(a + b)
(a + b + c)2",ab,,– abc,a2 + b2 + c2,c,"a + b + c = 0 ⇒ a + b = – c, (b + c) = – a and (c + a) = – b
⇒ (a + b) (b + c) (c + a) = (– c) ×
(– a) × (– b) = – (abc)."
143,"If a = 7, b = 5, c = 3, then the value of a2 + b2 +
c2 – ab – bc – ca is",– 12,0,8,12,d,"(a2 + b2 + c2 – ab – bc – ca) = (a + b + c)2 – 3 (ab + bc + ca)
= (7 + 5 + 3)2 – 3 (35 + 15 + 21)
= (15)2 – 3 × 71
= (225 – 213) = 12."
144,"Both addition and multiplication of numbers are
operations which are",neither commutative nor associative,associative but not commutative,commutative but not associative,commutative and associative,d,"Both addition and multiplication of numbers are com-
mutative and associative.
1
.
(854) – (276)
2(
+
()
ab
ab
22
22
+
, (where 768 and 232) = (a + b)
ab
==
)
= 2.
4ab
ab
= 438
QUANTITATIVE APTITUDE"
145,"Which of the following digits will replace the H
marks in the following equation?
9H + H8 + H6 = 230
(e) None of these
(S.S.C., 2010)
= ?
= ?",0,4,"6
= ?",9,,"9H + H8 + H6 = 230 ⇒ {(9 × 10) + H} + (10H + 8) +
(10H + 6) = 230
⇒ 21 H + 104 = 230 ⇒ 21H = 126
⇒ H = 6."
146,"Find the missing number in the following addition
problem:
8 3 5
4
* 8
+
2
9
2
* 4
* 7",,4,,9,c,"Let the missing digit be x. Then, 1 (carried over) + 3 + x
+ x = 10 + x ⇒ x = 6."
147,"What number should replace M in this multiplication
problem?
3 M
×
1 2 1
4
4
6",0,2,4,8,a,"Clearly, M = 0 since 304 × 4 = 1216."
148,"If p and q represent digits, what is the maximum
possible value of q in the statement
(S.S.C., 2010)
5p9 + 327 + 2q8 = 1114?",6,7,8,9,b,"5p9 + 327 + 2q8 = 1114 ⇒ (500 + 10p + 9) + (327) + (200
+ 10q + 8) = 1114
⇒ 10(p + q) + 1044 = 1114
⇒ 10 (p + q) = 70 ⇒ (p + q) = 7
⇒ Maximum value of q is 7
[As minimum value of p = 0]"
149,"What would be the maximum value of Q in the
following equation?
5P7 + 8Q9 + R32 = 1928
(e) None of these",6,8,9,Data inadequate,c,"5P7 + 8Q9 + R32 = 1928 ⇒ (500 + 10P + 7) + (800 + 10Q
+ 9) + (100R + 30 + 2) = 1928
ab b
×
24
b
2"
150,"What should come in place of * mark in the following
equation?
1*5$4 ÷ 148 = 78
(e) None of these",1,4,6,8,a,"Let
xy
148
= 78 .
Then, 10000 + 1000 x + 500 + 10y + 4 = 148 × 78
⇒ 10000 + 1000x + 500 + 10y + 4 = 11544
= 10000 + 1000 + 500 + 40 + 4
⇒ 1000x = 1000 ⇒ x = 1."
151,"If 6*43 – 46@9 = 1904, which of the following should
come in place of *?
(e) None of these",4,6,9,Cannot be determined,,"Let 6x43 – 46y9 = 1904.
Clearly, y = 3 and x = 5.
Hence * must be replaced by 5."
152,"What should be the maximum value of Q in the
following equation?
5P9 – 7Q2 + 9R6 = 823
(e) None of these",5,6,7,9,c,"5 P 9 – 7 Q 2 + 9 R 6 = 823
⇒ (500 + 10P + 9) – (700 + 10Q + 2) +
⇒ Maximum value of Q is 9
[for P = 9 in second case]"
153,"In the following sum, '?' stands for which digit?
? + 1? + 2? +? 3 +? 1 = 21?
(e) None of these
Directions (Questions 154–155): These questions are based
on the following information:
CBA + CCA = ACD, where A, B, C and D stand for
distinct digits and D = 0.NUMBER SYSTEM
21",4,6,8,9,c,"Let the required digit be x. Then
x + 1x + 2x + x3 + x1 = 21x
⇒ x + 10 + x + 20 + x + 10x + 3 + 10x + 1 = 200 + 10 + x
⇒ 22x = 210 – 34 = 176 ⇒ x = 8.
Hence, the required digit is 8."
154,B takes the value,0,,9,,c,"It is given that D = 0. So, we have A = 5.
So, 1 is carried over.
1 + B + C = 10 + C ⇒ 1 + B = 10 ⇒ B = 9.
Now, 1 + C + C = A ⇒ 1 + 2C = 5 ⇒ 2 C = 4 ⇒ C = 2.
Hence B = 9.
1 1
C B A = 5
+ C C A = 5
A C 0"
155,C takes the value,0,2,2 or 3,5,b,"We have, C = 2.
\ ( 5 6 7 ........ 100) is completely divisible by 5.
+
+ + +
And,
( 1 2 3 4) (1 2 3 2 1 4 3 2 1) (1 2 6 24) 33.
+ + + = + + ×× + ××× = + + + =
Clearly, 33 when divided by 5 leaves a remainder 3.
Hence, ( 1 2 3 4 5 ........ 100)
+++ ++ +
5 leaves a remainder 3."
156,"A 3–digit number 4a3 is added to another 3–digit
number 984 to give the four-digit number 13b7,
which is divisible by",,,,,a,"Since 13b7 is divisible by 11, we have
(7 + 3) – (b + 1) = 0 ⇒ 9 – b = 0 ⇒ b = 9.
Putting b = 9, a + 8 = 9 we get a = 1. Hence, (a + b)
= (1 + 9) = 10.
4 a 3
9 8 4
1 3 b 7"
11,"Then, (a + b) is (M.B.A., 2006)",10,11,12,15,b,"Clearly, there exists a smallest natural number, namely 1.
So statement (1) is true.
Natural numbers are counting numbers and the counting
process never ends. So, the largest nature number is not
known. Thus, statement (2) is false.
Thre is no natural number between two consecutive natural
numbers. So, statement (3) is false."
157,"If ab 252 ba , the values of a and b are (I.A.M., 2007)
24
12
12
×","1, 2","2, 3","1, 3",None of these,a,"Clearly, we have ab × b = 24 and ab × a = 12.
\
= ⇒ = ⇒= =
a
ab a
×
12
a
1
1, 2.
b"
158,"* * *
×
*
8 * * 1
In the above multiplication problem, * is equal to",1,3,7,9,d,"Clearly, 111 × 1 = 111 ≠ 8111.
But, 999 × 9 = 8991. Hence, we have 9 in place of *."
159,"If * means adding 6 times the second number to the
first number, then (1 * 2) * 3 equals",21,31,91,93,b,"(1 * 2) = 1 + 6 × 2 = 1 + 12 = 13.
(1 * 2) * 3 = 13 * 3 = 13 + 6 × 3 = 13 + 18 = 31."
160,"If 1 × 2 × 3 × ........ × n is denoted by n , then
8– 7 – 6 is equal to",6 × 7 × 8,7 × 8 × 7,6 × 8 × 6,7 × 8 × 6,c,"8– 7 – 6 8 7 6– 7 6– 6
= ×× ×
⇒ 10P + 10Q + 100R + 1348 = 1928 = (56 – 7 – 1) × 6 = 486 6 86×= ×× .
⇒ 10(P + Q + 10R) = 580
⇒ P + Q + 10R = 58 ⇒ R = 5 and
P + Q = 8 or R = 4 and P + Q = 18
1 54"
161,The highest power of 9 dividing 99! completely is,11,20,22,24,d,"Highest power of 3 in 99! =
    +++
    
99 99 99 99
3 333
    
23 4
=  ++ +
    
    
99 99 99 99
3

 9 27 81
= 33 + 11 + 3 + 1 = 48.
Since 9 = 32, so highest power of 9 dividing 99! =
48
2
= 24."
162,"For an integer n, n! = n(n – 1) (n – 2)............ 3.2.",,,,,d,"Every number from 5 onwards is completely divisible
by 5.
3
6 x 4 3
– 4 6 y 9
1 9 0 4
(900 + 10R + 6) = 823
⇒ (500 + 900 – 700) + 10(P + R – Q) + (9 + 6 – 2) = 823
⇒ 700 + 10(P + R – Q) = 810 = 700 + 110
⇒ 10 (P + R – Q) = 110
⇒ P + R – Q = 11
⇒ Q = (P + R – 11).
To get maximum value of Q we take P = 9 and R = 9.
This gives Q = (9 + 9 – 11) = 7.
Hence, the maximum value of Q is 7."
1,"(P.C.S., 2008)
Then, 1! + 2! + 3! + ......... + 100! when divided by
5 leaves remainder",0,1,2,3,c,"w
1
w ww w
1– 2 1
1
2
.
A, B, C are all odd and none of the digits is 3 ⇒ A, B, C
are the digits from 5, 7, 9.
Since A is the largest digit, so A = 9.
\ B = 5 or 7 and C = 5 or 7.
Now, the number DE is the product of two prime numbers.
E = 1 and D = 2, 4, 6 or 8.
41 and 61 are prime numbers and 81 cannot be expressed
as product of two primes.
Only 21 can be expressed as the product of two prime
numbers (21 = 3 × 7).
So, D = 2.
Hence, the number is 95721 or 97521."
163,"The number of prime factors in the expression
610 · 717 · 1127 is equal to",54,64,71,81,b,"610 × 717 × 1127 = (2 × 3)10 × 717 × 1127 = 210 × 310 × 717 × 1127.
Number of prime factors in the given expression = (10 +
10 + 17 + 27) = 64."
164,"What is the number of prime factors contained in
the product 307 × 225 × 3411?",49,51,52,53,d,"(30)7 × (22)5 × (34)11 = (2 × 3 × 5)7 × (2 × 11)5 × (2 × 17)11
= 2(7 + 5 + 11) × 37 × 57 × 115 × 1711
= (223 × 37 × 57 × 115 × 1711).
Number of prime factors = (23 + 7 + 7 + 5 + 11) = 53."
165,"What number multiplied by 48 will give the same
product as 173 multiplied by 240?",495,545,685,865,d,"Let x × 48 = 173 × 240. Then, x =
173 240
×
48"
166,"A positive number, which when added to 1000, gives
a sum which is greater than when it is multiplied
by",,,,,a,"(1000 + x) > (1000 × x). Clearly, x = 1."
1000,This positive integer is,1,3,5,7,,
167,"7 is added to a certain number ; the sum is multiplied
by 5 ; the product is divided by 9 and 3 is subtracted
from the quotient. Thus, if the remainder left is 12,
what was the original number?
(S.S.C., 2005)",20,30,40,60,a,"Let the original number be x. Then,
( 7) 5
xx
99
+
×
– 3 12
5 35
+
= ×=1735 865.
when divided by
=⇒ =⇒ + =
15 5 35 135
x
⇒ 5x = 100 ⇒ x = 20."
168,"Symbiosis runs a Corporate Training Programme.
At the end of running the first programme, its total
takings were `",,,,,a,"38950 is completely divisible by 410 only.
Hence ` 410 is the correct answer."
38950,"There were more than 45 but
less than 100 participants. What was the participant
fee for the programme?
(SNAP, 2005)",` 410,` 450,` 500,` 510,,
169,"The sum of four consecutive even numbers A, B, C
and D is",,,,,c,"Let the four consecutive even numbers be a, a + 2, a + 4
and a + 6.
Then, a + a + 2 + a + 4 + a + 6 = 180 ⇒ 4a = 168
⇒ a = 42.
So, these numbers are 42, 44, 46 and 48.
Sum of next four consecutive even numbers = (50 + 52
+ 54 + 56) = 212."
180,"What is the sum of the set of next four
consecutive even numbers? (Bank Recruitment, 2008)
(e) None of these",196,204,212,214,a,"Clearly, multiples of 2 and 5 together yield 0.
Since the product of odd numbers contains no power
of 2, so the given product does not give 0 at the unit
place."
170,"A young girl counted in the following way on the
fingers of her left hand. She started calling the thumb
1, the index finger 2, middle finger 3, ring finger 4,
little finger 5, then reversed direction, calling the
ring finger 6, middle finger 7, index finger 8, thumb
9 and then back to the index figure for 10, middle
finger for 11, and so on. She counted upto",,,,,b,"Number on thumbs = 1, 9, 17, 25, .............
This is an AP in which a = 1 and d = (9 – 1) = 8.NUMBER SYSTEM
39
\ Tn = a + (n – 1)d = 1 + 8(n – 1) = (8n – 7).
8n – 7 = 1994 ⇒ 8n = 2001 ⇒ n = 250.
T250 = 1 + (250 – 1) × 8 = 1 + 249 × 8 = 1993.
So, 1993 lies on thumb and 1994 on index finger."
1994,"She
ended on her",thumb,index finger,middle finger,ring finger,,
171,"Given n = 1 + x and x is the product of four
consecutive integers. Then which of the following
is true?
I. n is an odd integer.
II. n is prime.
III. n is a perfect square.",Only I is correct,Only III is correct,Both I and II are correct,Both I and III are correct,d,"Out of four consecutive integers two are even and therefore,
their product is even and on adding 1 to it, we get an
odd integer. So, n is odd. Some possible values of n are
as under:
n = 1 + (1 × 2 × 3 × 4) = (1 + 24) = 25 = 52,
n = 1 + (2 × 3 × 4 × 5) = (1 + 120) = 121 = (11)2,
n = 1 + (3 × 4 × 5 × 6) = (1 + 360) = 361 = (19)2,
n = 1 + (4 × 5 × 6 × 7) = 841 = (29)2 and so on.
Hence, n is odd and a perfect square."
172,"If x + y = 15 and xy = 56, then what is the value of
x2 + y2? (L.I.C.A.D.O., 2007)
(e) None of these",110,113,121,Cannot be determined,b,"(x2 + y2) = (x + y)2 – 2xy = (15)2 – 2 × 56
= (225 – 112) = 113."
173,"Given that (12 + 22 + 32 + .... + 202) = 2870, the value
of (22 + 42 + 62 + .... + 402) is",2870,5740,11480,"2870022
QUANTITATIVE APTITUDE",c,"(22 + 42 + 62 +...........+ 402) = (1 × 2)2 + (2 × 2)2 + (2 × 3)2
+ ...... + (2 × 20)2 = 22 × (12 + 22 + 32 +........+ 202)
= (4 × 2870) = 11480."
174,The value of 52 + 62 + .... + 102 + 202 is,755,760,765,770,a,"52 + 62 +.........+ 102 + 202 = (12 + 22 + 32 +........+ 102) – (12
+ 22 + 32 + 42) + 400
=
=
1
6
nn n +
( 1) (2 1) – (1 4 9 16) 400, where n = 10
+
1
6
+ ++ +
 +

× ×× + =
10 11 21 – 30 400 (385 – 30 400) = 755."
175,"Given that 1 + 2 + 3 + 4 + .... + 10 = 55, then the
sum 6 + 12 + 18 + 24 + .... + 60 is equal to",300,330,455,655,b,"(6 + 12 + 18 + 24 + ..... + 60) = 6 × (1 + 2 + 3 + 4 +.........+
10) = 6 × 55 = 330."
176,"If m and n are natural numbers such that 2m – 2n =
960, what is the value of m?
(M.A.T., 2007)",10,12,15,Cannot be determined,a,"2m > 960 when the least value of m is 10.
Then, 210 = 1024 and 1024 – 960 = 64 = 26.
\ m = 10 and n = 6."
177,"On multiplying a number by 7, all the digits in the
product appear as 3's. The smallest such number
is (C.P.O., 2006)",47619,46719,48619,47649,a,"We keep on dividing 33333... by 7 till we get 0 as
remainder.
47619
7 333333
28
53
49
43
42
13
7
63
63
×
\ Required number = 47619"
178,"The number of digits in the smallest number, which
when multiplied by 7 yields all nines, is",3,4,5,6,d,"We keep on dividing 99999.... by 7 till we get 0 as remainder.
142857
7 999999
7
29
28
19
14
59
56
39
35
49
49
×
\ Required number = 142857.
Number of digits = 6."
179,"A boy multiplies 987 by a certain number and
obtains 559981 as his answer. If in the answer both
9's are wrong but the other digits are correct, then
the correct answer will be",553681,555181,555681,556581,c,"56
987 559981
4935
6648
5922
7261
2961
×
Clearly, 7261 must be replaced by 2961, which is possibvle
if 6648 is replaced by 6218, which in turn is possible if
5599 is replaced by 5556.
Thus, the correct number is 555681."
180,"The numbers 1, 3, 5, ........., 25 are multiplied together.
The number of zeros at the right end of the product
is (R.R.B., 2006)",0,1,2,3,a,"Clearly, multiples of 2 and 5 together yield 0.
Since the product of odd numbers contains no power
of 2, so the given product does not give 0 at the unit
place."
181,"The numbers 1, 2, 3, 4, .........., 1000 are multiplied
together. The number of zeros at the end (on the
right) of the product must be",30,200,211,249,d,"Let N = 1 × 2 × 3 × 4 ×.........× 1000 = 1000!
Clearly, the highest power of 2 in N is very high as
compared to that of 5.
So, the number of zeros in N will be equal to the highest
power of 5 in N.
\ Required number of zeros
=
   +++
   
   234
1000 1000 1000 1000
5
5
5
5
= 200 + 40 + 8 + 1 = 249."
182,"First 100 multiples of 10 i.e. 10, 20, 30, ............, 1000
are multiplied together. The number of zeros at the
end of the product will be",100,111,124,125,c,"Let N = 10 × 20 × 30 × ....... × 1000 = 10100 × (1 × 2 × 3
× 4 ×......... 100) = 10100 × 100!
Number of zeros in 100 ! = Highest power of 5 in 100 !
=
 +
  20 4 24.
100 100
 
5
5
2
= +=
\ Number of zeros in N = 100 + 24 = 124."
183,"The number of zeros at the end of the product
5 × 10 × 15 × 20 × 25 × 30 × 35 × 40 × 45 × 50 is",5,7,8,10,c,"Let N = 5 × 10 × 15 × 20 × 25 × 30 × 35 × 40 × 45 × 50
= 510 × (1 × 2 × 3 × 4 ×......... × 10) = 510 × 10!
10 10 10
Highest power of 2 in 10! = 23
   ++= +5 2 1 8.
  
2 22
Highest power of 5 in 10! =
 =

10
\ N = 28 × 512 × k.
Since highest power of 2 is less than that of 5, so required
number of zeros = 8.

5"
184,The number of zeros at the end of 60! is,12,14,16,18,b,"Clearly, highest power of 2 is much higher as compared
to that of 5 in 60!, so
Required number of zeros = Highest power of
5 =
  
60 60
  
5  
+ = +=122 14.
5
2"
185,"The numbers 1, 3, 5, 7, ........., 99 and 128 are
multiplied together. The number of zeros at the end
of the product must be",Nil,7,19,22,b,"Let N = (1 × 3 × 5 × 7 × .... × 99) × 128.
Clearly, N contains 10 multiples of 5 (5, 15, 25, 35, .....,
95) and only one multiple of 2 i.e. 128 or 27.
Clearly, highest power of 5 in N is greater than that of 2.
\ Number of zeros in N = Highest power of 2 in N = 7."
